timeline,survival_prob
500.0,0.6753152068715496
501.0,0.6743667304574039
502.0,0.6734169181609848
503.0,0.6696176689753096
504.0,0.667712640045081
505.0,0.6638862065777741
506.0,0.6638862065777741
507.0,0.6629226562053824
508.0,0.6629226562053824
509.0,0.660010843659824
510.0,0.660010843659824
511.0,0.653196572412599
512.0,0.6502630548718241
513.0,0.6483014770290734
514.0,0.6483014770290734
515.0,0.6443604346155227
516.0,0.6414001263401068
517.0,0.6384352567268241
518.0,0.6364525385382312
519.0,0.6304764583641633
520.0,0.629472514959125
521.0,0.6284669678106279
522.0,0.6234392320681433
523.0,0.6234392320681433
524.0,0.6204177172115931
525.0,0.6153572138085622
526.0,0.6112752422410094
527.0,0.607172723836707
528.0,0.6061453588217545
529.0,0.6030632637768985
530.0,0.6030632637768985
531.0,0.6009908814271494
532.0,0.5947629966455209
533.0,0.5916216427899988
534.0,0.5863674541328939
535.0,0.5853109361975194
536.0,0.5821298985007939
537.0,0.5778807751540723
538.0,0.5736159723854075
539.0,0.571471613610135
540.0,0.5703872272465484
541.0,0.5671216515180377
542.0,0.5616685587149799
543.0,0.5594745409074994
544.0,0.5561443353068592
545.0,0.5550342667733126
546.0,0.5528052134930987
547.0,0.5471872743315837
548.0,0.5471872743315837
549.0,0.5460473008433927
550.0,0.5437625841034621
551.0,0.5426202257334967
552.0,0.5414706066111801
553.0,0.5368525204140697
554.0,0.5321535924454563
555.0,0.5250739437654722
556.0,0.5250739437654722
557.0,0.5238832999020583
558.0,0.5190880294224056
559.0,0.5166680386092477
560.0,0.5129950430741106
561.0,0.510522777806284
562.0,0.5080202151699786
563.0,0.4991740920202527
564.0,0.4953636027681898
565.0,0.48772303305968306
566.0,0.47878569999314424
567.0,0.4762115833265144
568.0,0.46443712110140845
569.0,0.45776417395914654
570.0,0.4483396174364581
571.0,0.44420109789089096
572.0,0.4342668880339063
573.0,0.42995297855012593
574.0,0.41679115267614264
575.0,0.4107941576736084
576.0,0.40010434687912777
577.0,0.39702662113390375
578.0,0.38921113646591343
