timeline,survival_prob,segment
376.0,0.8374717225529089,High Review Score
377.0,0.8374717225529089,High Review Score
378.0,0.8357764356651495,High Review Score
379.0,0.8306905750018726,High Review Score
380.0,0.8255943138055418,High Review Score
381.0,0.8221968063413219,High Review Score
382.0,0.820498052609211,High Review Score
383.0,0.8187992988771011,High Review Score
385.0,0.8187992988771011,High Review Score
386.0,0.8187992988771011,High Review Score
387.0,0.8170863296325882,High Review Score
389.0,0.8170863296325882,High Review Score
390.0,0.8101910863445493,High Review Score
391.0,0.8101910863445493,High Review Score
392.0,0.8101910863445493,High Review Score
394.0,0.8066988833861674,High Review Score
397.0,0.8049489942681932,High Review Score
398.0,0.8049489942681932,High Review Score
399.0,0.7996764026026806,High Review Score
400.0,0.7979188720475102,High Review Score
401.0,0.7961496506017285,High Review Score
402.0,0.794380429155947,High Review Score
403.0,0.794380429155947,High Review Score
404.0,0.794380429155947,High Review Score
406.0,0.794380429155947,High Review Score
407.0,0.7925872453429537,High Review Score
408.0,0.7925872453429537,High Review Score
411.0,0.790777685422079,High Review Score
412.0,0.790777685422079,High Review Score
413.0,0.7889598056854766,High Review Score
415.0,0.7853156495391233,High Review Score
416.0,0.7853156495391233,High Review Score
417.0,0.7834807998906677,High Review Score
418.0,0.7816416430834126,High Review Score
419.0,0.7816416430834126,High Review Score
420.0,0.7797937904992915,High Review Score
421.0,0.7779459379151695,High Review Score
423.0,0.7760980853310482,High Review Score
425.0,0.7742502327469265,High Review Score
427.0,0.772397959462843,High Review Score
429.0,0.7686755596582033,High Review Score
430.0,0.7668143597558832,High Review Score
432.0,0.7649531598535625,High Review Score
433.0,0.7649531598535625,High Review Score
436.0,0.7649531598535625,High Review Score
437.0,0.7649531598535625,High Review Score
438.0,0.7630690387701792,High Review Score
439.0,0.7630690387701792,High Review Score
440.0,0.7611755672099557,High Review Score
441.0,0.759282095649732,High Review Score
442.0,0.7573886240895079,High Review Score
444.0,0.7554951525292846,High Review Score
445.0,0.7554951525292846,High Review Score
446.0,0.7535969235028294,High Review Score
447.0,0.7535969235028294,High Review Score
448.0,0.7516939009687313,High Review Score
449.0,0.7516939009687313,High Review Score
450.0,0.7497811938415843,High Review Score
451.0,0.7478684867144376,High Review Score
452.0,0.7459557795872908,High Review Score
455.0,0.742130365332997,High Review Score
456.0,0.7382950662873486,High Review Score
457.0,0.7382950662873486,High Review Score
460.0,0.7363674029288964,High Review Score
461.0,0.7344397395704438,High Review Score
462.0,0.7305844128535385,High Review Score
463.0,0.7305844128535385,High Review Score
464.0,0.7305844128535385,High Review Score
465.0,0.7228122382487132,High Review Score
466.0,0.7228122382487132,High Review Score
467.0,0.720858691658852,High Review Score
468.0,0.7188998365184747,High Review Score
469.0,0.7149606593320719,High Review Score
470.0,0.7129856298864026,High Review Score
471.0,0.7129856298864026,High Review Score
472.0,0.7109940499146526,High Review Score
473.0,0.7109940499146526,High Review Score
475.0,0.7089855921465321,High Review Score
476.0,0.7069714285324794,High Review Score
477.0,0.7049457224335327,High Review Score
478.0,0.7029083070507769,High Review Score
480.0,0.7008708916680205,High Review Score
481.0,0.6967960609025087,High Review Score
482.0,0.6967960609025087,High Review Score
483.0,0.6926851696877447,High Review Score
484.0,0.6885373543003924,High Review Score
485.0,0.6843644006379662,High Review Score
487.0,0.6822779238067527,High Review Score
489.0,0.6822779238067527,High Review Score
490.0,0.6801850467398607,High Review Score
491.0,0.6780792106818427,High Review Score
492.0,0.6759733746238243,High Review Score
493.0,0.66965586644977,High Review Score
494.0,0.66965586644977,High Review Score
496.0,0.6675433873757963,High Review Score
499.0,0.663318429227848,High Review Score
500.0,0.661205950153874,High Review Score
501.0,0.6590934710799001,High Review Score
503.0,0.6548549278575218,High Review Score
504.0,0.6506026231311745,High Review Score
505.0,0.644224166041653,High Review Score
506.0,0.644224166041653,High Review Score
507.0,0.644224166041653,High Review Score
508.0,0.644224166041653,High Review Score
509.0,0.6420477330482695,High Review Score
511.0,0.6354962255681854,High Review Score
512.0,0.6310983278133884,High Review Score
513.0,0.6267004300585911,High Review Score
514.0,0.6267004300585911,High Review Score
515.0,0.6244859409064407,High Review Score
516.0,0.6200412011135125,High Review Score
517.0,0.6178108370807301,High Review Score
518.0,0.615572392018844,High Review Score
519.0,0.606618611771297,High Review Score
520.0,0.606618611771297,High Review Score
522.0,0.6020575695775277,High Review Score
523.0,0.6020575695775277,High Review Score
524.0,0.5997683772977649,High Review Score
525.0,0.5974704141663556,High Review Score
526.0,0.5951546373672615,High Review Score
527.0,0.5858915301708837,High Review Score
528.0,0.5835757533717892,High Review Score
529.0,0.5766284229745059,High Review Score
531.0,0.5742844049949352,High Review Score
532.0,0.562564315097079,High Review Score
534.0,0.5578169369106056,High Review Score
535.0,0.5554331038468847,High Review Score
536.0,0.5506241592248341,High Review Score
537.0,0.5457941227404057,High Review Score
538.0,0.540964086255977,High Review Score
539.0,0.536090535929347,High Review Score
540.0,0.5336426339388018,High Review Score
541.0,0.5311834512939226,High Review Score
542.0,0.5188875380695261,High Review Score
543.0,0.5164166450311,High Review Score
544.0,0.5114028911958463,High Review Score
545.0,0.5088960142782196,High Review Score
546.0,0.5038574398794251,High Review Score
547.0,0.49622323624488834,High Review Score
548.0,0.49622323624488834,High Review Score
550.0,0.49365213139387853,High Review Score
551.0,0.49365213139387853,High Review Score
552.0,0.49105396228127923,High Review Score
553.0,0.4858299839591382,High Review Score
554.0,0.475268462568722,High Review Score
555.0,0.4673030693413131,High Review Score
557.0,0.4673030693413131,High Review Score
558.0,0.46458619103118953,High Review Score
559.0,0.4618693127210656,High Review Score
560.0,0.4591363582079231,High Review Score
561.0,0.45360459485602034,High Review Score
562.0,0.45082174458082985,High Review Score
563.0,0.44518647277356965,High Review Score
564.0,0.44235089014443885,High Review Score
565.0,0.43664313672322014,High Review Score
566.0,0.42808150659139227,High Review Score
567.0,0.4251890639792883,High Review Score
568.0,0.4106277946649292,High Review Score
569.0,0.4076736378687789,High Review Score
570.0,0.3987464779154478,High Review Score
571.0,0.39565541994711095,High Review Score
572.0,0.38608311140000345,High Review Score
573.0,0.37953932985085065,High Review Score
574.0,0.3630376198573355,High Review Score
575.0,0.34959178208484143,High Review Score
576.0,0.3393096708470521,High Review Score
577.0,0.3393096708470521,High Review Score
578.0,0.332313595159484,High Review Score
579.0,0.31463734009780925,High Review Score
580.0,0.30000304520953924,High Review Score
581.0,0.29231065943493567,High Review Score
582.0,0.28419091889507647,High Review Score
583.0,0.2760711783552171,High Review Score
584.0,0.2720113080852873,High Review Score
585.0,0.2720113080852873,High Review Score
587.0,0.2678899246294496,High Review Score
588.0,0.2593854825777211,High Review Score
589.0,0.2593854825777211,High Review Score
590.0,0.2593854825777211,High Review Score
592.0,0.25458204771517073,High Review Score
593.0,0.24968623910526352,High Review Score
594.0,0.24968623910526352,High Review Score
595.0,0.24469251432315825,High Review Score
599.0,0.24469251432315825,High Review Score
601.0,0.24469251432315825,High Review Score
614.0,0.23925490289375473,High Review Score
688.0,0.22294206860554425,High Review Score
689.0,0.21707517206329308,High Review Score
690.0,0.1984687287435823,High Review Score
691.0,0.16793507816764658,High Review Score
692.0,0.14927562503790806,High Review Score
693.0,0.11195671877843107,High Review Score
694.0,0.06397526787338918,High Review Score
695.0,0.0,High Review Score
0.0,1.0,Low Review Score
5.0,1.0,Low Review Score
6.0,1.0,Low Review Score
7.0,1.0,Low Review Score
9.0,1.0,Low Review Score
10.0,1.0,Low Review Score
11.0,1.0,Low Review Score
12.0,1.0,Low Review Score
13.0,1.0,Low Review Score
14.0,1.0,Low Review Score
15.0,1.0,Low Review Score
16.0,1.0,Low Review Score
17.0,1.0,Low Review Score
19.0,1.0,Low Review Score
20.0,1.0,Low Review Score
21.0,1.0,Low Review Score
22.0,1.0,Low Review Score
23.0,1.0,Low Review Score
24.0,1.0,Low Review Score
25.0,1.0,Low Review Score
